,name,country,sector,founded,marketcap,revenue,employees,website,ceo,idDocDB
0,0044 LIMITED,UNITED KINGDOM,,,,,,,,181511
1,0X,UNITED STATES,FINTECH,2016,,,,,,227755
2,1 1,GERMANY,TELECOMMUNICATION INTERNET,1983,2320000000,4312000,3163,HTTPS://WWW.1UND1-DRILLISCH.DE,MR RALPH DOMMERMUTH,196525
3,1 800 FLOWERS,USA,E COMMERCE INTERNET TECH,,650000000,1860000000,4700,HTTPS://WWW.1800FLOWERS.COM/,,425951
4,1 INDIA FAMILY MART,INDIA,RETAIL,2012,,,,,,201522
5,10 OR,TAIPEI,SMARTPHONES,2004,,,,,MR CHI KUAN YANG,207161
6,100 PLUS,,SPORTS DRINK,,,,,,,480451
7,1000MERCIS,FRANCE,,,,,386,,MS YSEULYS COSTES,
8,1047 GAMES,UNITED STATES,INTERNET SOFTWARE SERVICES,2017,,,1239,,DR SERGE SAXONOV PH D,68727
9,10DSPACEO 14318875,,,,,,,,,
10,10X GENOMICS,USA,GENOMICS BIOTECH,2012,4000000000,490000000,1148,HTTPS://WWW.10XGENOMICS.COM/,JOHN R STUELPNAGEL D V M,258032
11,11 88 0 SOLUTIONS AG,GERMANY,,,,,565,,MR CHRISTIAN MAAR,449462
12,11 BIT STUDIOS,POLAND,VIDEO GAMES ENTERTAINMENT TECH,2010,290000000,19,105,HTTP://WWW.11BITSTUDIOS.COM/,,366859
13,123 REG LIMITED,UNITED KINGDOM,,,,,,,,287769
14,128 TECHNOLOGY CAREERS,BURLINGTON,INFORMATION TECHNOLOGY SERVICES,2014,,,125,WWW.128TECHNOLOGY.COM,,146171
15,1300SMILES LIMITED,AUSTRALIA,,,,,338,,,424235
16,17 TEA,,READY TO DRINK TEA,,,,,,,172357
17,180 DEGREES CONSULTING CAREERS,SYDNEY,NON PROFIT ORGANIZATION,2007,,,7500,WWW.180DC.ORG,,152903
18,1957 CO,HONG KONG,,,,,403,,MR CHI PO KWOK,393714
19,1K NETWORKS,INDIA,RETAIL,2018,,,,,,203057
20,1KMXC,CHINA,HARDWARE,2014,,,,,,
21,1LIFE HEALTHCARE INC,USA,,2007,3378000000,621000000,3090,HTTPS://WWW.ONEMEDICAL.COM/,,547079
22,1PASSWORD,CANADA,CYBERSECURITY,2005,,,,,,397841
23,1POINT1 SOLUTIONS,INDIA,BPO,2008,,,,,,483321
24,1ST SOURCE,USA,BANKS FICIAL SERVICES,,1140000000,336000000,1130,HTTPS://WWW.1STSOURCE.COM/,,232553
25,2 RING,SLOVAKIA,TECHNOLOGY,2001,,3,19,HTTPS://WWW.2RING.COM/,,472909
26,20CUBE LOGISTICS,SINGAPORE,LOGISTICS,2011,,,,,,201323
27,21 CO,UNITED STATES,FINTECH,,,,,,,362958
28,21 INVEST SPA,ITALY,TRANSPORTATION COMMUNICATIONS ELECTRIC GAS AND SANITARY SERVICES,2009,,,,,,415372
29,21SPARROWSO 16270291,HARJU MAAKOND TALLINN KESKLINNA LINNAOSA TOOM KUNINGA TN,OTHER ACTIVITIES AUXILIARY TO FICIAL SERVICES THAT ARE NOT CLASSIFIED ELSEWHERE,,,,,,,
30,21VIANET GROUP,CHINA,,,2843000000,724000000,3162,HTTP://IR.21VIANET.COM,,257295
31,22ND CENTURY GROUP,USA,CANNABIS TOBACCO,,190000000,,,,,164937
32,23ANDME,USA,BIOTECH SOFTWARE TECH,2006,1110000000,271000000,746,HTTPS://WWW.23ANDME.COM/,,
33,24 7 CUSTOMER,UNITED STATES,SOFTWARE PRODUCT,2000,,,,,,548677
34,24 7 INTOUCH,CANADA,BPO,2001,,,,,,64112
35,24 HOLDING OU,ESTONIA,,,,,,,,272122
36,24SEVEN,GERMANY,RETAIL,2014,,9231690,18,HTTPS://WWW.2E-VERTRIEB.DE,,446532
