Nome,Prezzo,Piattaforma,Classificazione,Info,Data di uscita,Numero recensioni,Valutazione
Spider-Man Miles Morales - PlayStation 5,"['Nuovo: 44,99€', 'Usato: 27,99€']",PlayStation 5,Dai 16 anni in su,"[""Vivi l'ascesa di Miles Morales, un nuovo eroe che deve imparare a padroneggiare nuovi incredibili ed esplosivi poteri per diventare la sua personalissima versione di Spider-Man."", ""Nell'ultima avventura della serie Marvel's Spider-Man, l'adolescente Miles Morales cerca di ambientarsi in un nuovo quartiere mentre segue le orme del suo mentore, Peter Parker, come nuovo Spider-Man."", ""Ma quando una feroce lotta per il potere minaccia di distruggere la sua nuova casa, l'aspirante eroe capisce che da grandi poteri derivano grandi responsabilità. Per salvare la New York della Marvel, Miles deve raccogliere il testimone di Spider-Man e dimostrarsi all'altezza."", ""Accompagna Miles tra le strade innevate del suo quartiere mentre cerca di ambientarsi in una nuova e vibrante realtà. Quando il confine tra vita privata e lotta al crimine diventerà sempre più sottile, si troverà a scoprire l'importanza della fiducia e del senso di appartenenza.""]",12 novembre 2020,838 voti,"4,7 su 5 stelle"
Cyberpunk 2077 D1 Edition - Day-One - Xbox One,"Nuovo: 29,99€",Xbox One,Dai 18 anni in su,"['Diventa un cyberpunk, un mercenario urbano dotato di potenziamenti cibernetici, e crea la tua leggenda sulle strade di Night City.', ""Entra nell'immenso mondo aperto di Night City, un luogo che definisce nuovi standard in termini di grafica, complessità e profondità."", ""Accetta il lavoro più rischioso della tua vita e dai la caccia al prototipo di un impianto in grado di conferire l'immortalità."", 'Bonus digitali inclusi nella D1 Edition: colonna sonora del gioco, libretto digitale con una selezione di bozzetti del gioco, manuale di cyberpunk 2020, sfondi per desktop e dispositivi Mobile; - fumetto digitale cyberpunk 2077: la tua voce']",10 dicembre 2020,599 voti,"4,4 su 5 stelle"
STRAY,"Nuovo: 34,99€",PlayStation 4,Dai 12 anni in su,"['CONTENUTI EDITIONE FISICA:', '6 carte con illustrazioni a colori', 'La versione Playstation 4 include l’aggiornamento gratuito alla versione PS5']",8 novembre 2022,5 voti,"4,7 su 5 stelle"
Hogwarts Legacy - PS5,"Nuovo: 74,99€",PlayStation 5,Dai 16 anni in su,"['Vivi a Hogwarts nel 1800', 'Il tuo personaggio è uno studente, il cui talento potrebbe essere la chiave di un antico segreto che minaccia di distruggere il mondo magico', 'Scopri la sensazione di vivere a Hogwarts mentre forgi alleanze, combatti i Maghi Oscuri e infine determini il fato del mondo magico', ""L'eredità che lascerai è solo tua da plasmare; scrivi la tua storia""]",10 febbraio 2023,,
Mario Golf: Super Rush (Nintendo Switch),"Nuovo: 39,99€",Nintendo Switch,Dai 3 anni in su,"['Più di un gioco di golf: Scopri modalità multiplayer, da condividere con chi vuoi, in locale e online fino a 4 giocatori', 'Competi con amici e parenti nelle inedite modalità Speed Golf e Battaglia Golf o rilassati con una partita di Golf Standard', 'Prendi del tempo per te stesso con la modalità Storia: affronta sfide sempre diverse con i personaggi del Regno dei Funghi e ottimizza le tue statistiche partita dopo partita', 'Scegli se giocare con i pulsanti o con i comandi di movimento, impugnando il controller Joy-con come se fosse una mazza, per un’esperienza ancora immersiva']",25 giugno 2021,257 voti,"4,6 su 5 stelle"
Minecraft: Nintendo Switch Edition Nsw - Nintendo Switch [Edizione UK],"Nuovo: 31,89€",Nintendo Switch,Dai 7 anni in su,"['Esplora mondi generati casualmente e costruisci cose incredibili, dalle C più semplici al più grandioso dei castelli', 'Gioca in movimento in modalità portatile o da tavolo']",21 giugno 2018,29.890 voti,"4,6 su 5 stelle"
Final Fantasy VII Remake - Standard - PlayStation 4,"['Nuovo: 40,15€', 'Usato: 29,10€']",PlayStation 4,Dai 16 anni in su,"['Final Fantasy VII Remake narra la storia di un mondo caduto sotto il controllo della compagnia elettrica Shinra', 'Nell’enorme città di Midgar, un’organizzazione anti-Shinra chiamata Avalanche ha intensificato la sua resistenza', 'Final Fantasy VII Remake include un sistema di battaglia ibrido che unisce azione in tempo reale con combattimenti strategici', 'Una reinterpretazione contemporanea della storia che esplora il suo mondo e i suoi personaggi', 'Un’esperienza che rappresenta un ottimo punto di partenza per la serie']",6 maggio 2020,933 voti,"4,7 su 5 stelle"
Grand Theft Auto V Premium Edition - Special - Xbox One [Edizione IT],"['Nuovo: 24,99€', 'Usato: 21,99€']",Xbox One,Dai 18 anni in su,"[""Grand Theft Auto V: premium Edition, comprende l'esperienza di gioco completa di Grand Theft Auto V, tutti gli aggiornamenti e i nuovi contenuti"", ""Contenuti extra: il colpo dell'apocalisse, Traffico d'armi, Contrabbandieri, Centauri e molto altro per un valore di oltre 10.000.000 di GTA$"", 'Il gioco comprende il Criminal Enterprise starter pack: proprietà, attività, armi, veicoli e molto altro ancora', ""1.000.000 di GTA$ omaggio da spendere liberamente all'interno del gioco""]",20 settembre 2019,581 voti,"4,7 su 5 stelle"
Resident Evil 5 - PlayStation 4,"Nuovo: 14,90€",PlayStation 4,Dai 18 anni in su,"['Include le storie  “Lost in Nightmares” e “Desperate Escape”', 'Include le modalità “ No Mercy” e “Mercenaries United”']",2 dicembre 2016,491 voti,"4,6 su 5 stelle"
FIFA 23 Standard Edition PS5 | Italiano,"Nuovo: 62,99€",PlayStation 5,Dai 3 anni in su,"['OGGETTO GIOCATORE SQUADRA DELLA SETTIMANA 1: Oggetto giocatore non scambiabile per il tuo FIFA Ultimate Team', 'OGGETTO KYLIAN MBAPPÉ IN PRESTITO: Per 5 partite FUT', 'AMBASCIATORE FUT A SCELTA IN PRESTITO: Scegli tra Davies, Son o Vinícius Jr. per 3 partite FUT', 'TALENTO LOCALE MODALITÀ CARRIERA: Una giovane promessa locale con potenziale da campione']",30 settembre 2022,384 voti,"4,6 su 5 stelle"
