,name,country,sector,founded,marketcap,revenue,employees,website,ceo
0,0044 LIMITED,UNITED KINGDOM,,,,,,,
1,0X,UNITED STATES,FINTECH,2016,,,,,
2,1 1,GERMANY,TELECOMMUNICATION INTERNET,1983,2320000000,4312000,3163,HTTPS://WWW.1UND1-DRILLISCH.DE,MR RALPH DOMMERMUTH
3,1 800 FLOWERS,USA,E COMMERCE INTERNET TECH,,650000000,1860000000,4700,HTTPS://WWW.1800FLOWERS.COM/,
4,1 INDIA FAMILY MART,INDIA,RETAIL,2012,,,,,
5,10 OR,TAIPEI,SMARTPHONES,2004,,,,,MR CHI KUAN YANG
6,100 PLUS,,SPORTS DRINK,,,,,,
7,1000MERCIS,FRANCE,,,,,386,,MS YSEULYS COSTES
8,1047 GAMES,UNITED STATES,INTERNET SOFTWARE SERVICES,2017,,,1239,,DR SERGE SAXONOV PH D
9,10DSPACEO 14318875,,,,,,,,
10,10X GENOMICS,USA,GENOMICS BIOTECH,2012,4000000000,490000000,1148,HTTPS://WWW.10XGENOMICS.COM/,JOHN R STUELPNAGEL D V M
11,11 88 0 SOLUTIONS AG,GERMANY,,,,,565,,MR CHRISTIAN MAAR
12,11 BIT STUDIOS,POLAND,VIDEO GAMES ENTERTAINMENT TECH,2010,290000000,19,105,HTTP://WWW.11BITSTUDIOS.COM/,
13,123 REG LIMITED,UNITED KINGDOM,,,,,,,
14,128 TECHNOLOGY CAREERS,BURLINGTON,INFORMATION TECHNOLOGY SERVICES,2014,,,125,WWW.128TECHNOLOGY.COM,
15,1300SMILES LIMITED,AUSTRALIA,,,,,338,,
16,17 TEA,,READY TO DRINK TEA,,,,,,
17,180 DEGREES CONSULTING CAREERS,SYDNEY,NON PROFIT ORGANIZATION,2007,,,7500,WWW.180DC.ORG,
18,1957 CO,HONG KONG,,,,,403,,MR CHI PO KWOK
19,1K NETWORKS,INDIA,RETAIL,2018,,,,,
20,1KMXC,CHINA,HARDWARE,2014,,,,,
21,1LIFE HEALTHCARE INC,USA,,2007,3378000000,621000000,3090,HTTPS://WWW.ONEMEDICAL.COM/,
22,1PASSWORD,CANADA,CYBERSECURITY,2005,,,,,
23,1POINT1 SOLUTIONS,INDIA,BPO,2008,,,,,
24,1ST SOURCE,USA,BANKS FICIAL SERVICES,,1140000000,336000000,1130,HTTPS://WWW.1STSOURCE.COM/,
25,2 RING,SLOVAKIA,TECHNOLOGY,2001,,3,19,HTTPS://WWW.2RING.COM/,
26,20CUBE LOGISTICS,SINGAPORE,LOGISTICS,2011,,,,,
27,21 CO,UNITED STATES,FINTECH,,,,,,
28,21 INVEST SPA,ITALY,TRANSPORTATION COMMUNICATIONS ELECTRIC GAS AND SANITARY SERVICES,2009,,,,,
29,21SPARROWSO 16270291,HARJU MAAKOND TALLINN KESKLINNA LINNAOSA TOOM KUNINGA TN,OTHER ACTIVITIES AUXILIARY TO FICIAL SERVICES THAT ARE NOT CLASSIFIED ELSEWHERE,,,,,,
30,21VIANET GROUP,CHINA,,,2843000000,724000000,3162,HTTP://IR.21VIANET.COM,
31,22ND CENTURY GROUP,USA,CANNABIS TOBACCO,,190000000,,,,
32,23ANDME,USA,BIOTECH SOFTWARE TECH,2006,1110000000,271000000,746,HTTPS://WWW.23ANDME.COM/,
33,24 7 CUSTOMER,UNITED STATES,SOFTWARE PRODUCT,2000,,,,,
34,24 7 INTOUCH,CANADA,BPO,2001,,,,,
35,24 HOLDING OU,ESTONIA,,,,,,,
36,24SEVEN,GERMANY,RETAIL,2014,,9231690,18,HTTPS://WWW.2E-VERTRIEB.DE,
37,24SEVENOFFICE GROUP AB,SWEDEN,,,,,181,,
38,25 MOORGATE LIMITED,UNITED KINGDOM,,,,,,,
39,29METALS LIMITED,AUSTRALIA,,,1086000000,411000000,,HTTPS://WWW.29METALS.COM/,
40,2C2P,SINGAPORE,FINTECH,2003,,122,406,HTTPS://2C2P.COM/,
41,2COMS,INDIA,RECRUITMENT,1999,,,,,
42,2CRSI SA,FRANCE,MANAGEMENT CONSULTING,2007,,11962758,389,HTTPS://2IPORTAGE.COM,MR ALAIN WILMOUTH
43,2CUREX AB,DENMARK,,,,,13,,MR OLE THASTRUP VD
44,2E VERTRIEBS GMBH,GERMANY,RETAIL,2014,,8,13,HTTPS://WWW.2E-VERTRIEB.DE/,MR CHRISTIAN GROTHOLT
45,2H INT RIM,FRANCE,MANAGEMENT CONSULTING,2014,,3496300,51,HTTPS://WWW.CLEMAJOB.FR,
46,2S METAL PUBLIC COMPANY LTD,THAILAND,,,,,,,MR SOMBAT LEESWADTRAKUL
47,2SEVENTY BIO,USA,,,430000000,,,,
48,2U,USA,EDUCATION TECH,,540000000,945000000,3982,HTTPS://2U.COM/,
49,2U COMPANY,MARYLAND,SMARTPHONES,2008,112680000000,35355000,95000,HTTPS://WWW.3M.COM/,MIKE ROMAN
50,2V ENERGY SRL,ITALY,TRANSPORTATION COMMUNICATIONS ELECTRIC GAS AND SANITARY SERVICES,2012,,,,,
51,3,,MOBILE SERVICE PROVIDER,,,,,,
52,3 D MATRIX,JAPAN,INDUSTRIAL GOODS,2004,,9,69,HTTP://WWW.3D-MATRIX.CO.JP/,
53,3 MAJ,RIJEKA,COMMERCIAL VEHICLES TRUCKS,1892,,,,,
