,ID azienda,Name,Company code,Marketcap,Share price,Earnings,Revenue,Shares,Employees,Category
0,1,Walmart,WMT,$411.81 B,$151.73,$14.84 B,$600.11 B,2.736.000.000,2.300.000,"['Retail', 'Dowjones', 'SupermarketChains']"
1,2,Amazon,AMZN,$988.03 B,$96.85,$12.11 B,$502.19 B,10.175.000.000,1.544.000,"['ECommerce', 'Internet', 'Tech', 'Retail']"
2,3,United Parcel Service,UPS,$164.27 B,$189.93,$14.32 B,$101.07 B,870.000.000,500.000,"['Courier', 'Transportation']"
3,4,Kroger,KR,$35.29 B,$49.30,$3.03 B,$144.14 B,716.000.000,500.000,"['Retail', 'SupermarketChains']"
4,5,Home Depot,HD,$332.04 B,$325.79,$24.14 B,$157.29 B,1.023.000.000,500.000,"['Retail', 'Dowjones']"
5,6,Target,TGT,$76.41 B,$166.01,$4.39 B,$107.22 B,461.500.000,450.000,"['Retail', 'SupermarketChains']"
6,7,Starbucks,SBUX,$117.54 B,$102.41,$4.71 B,$30.23 B,1.147.000.000,383.000,['Beverages']
7,8,Berkshire Hathaway ,BRK-B,$700.39 B,$317.90,$0.36 B,$253.88 B,2.205.864.397,372.000,['Investment']
8,9,UnitedHealth,UNH,$511.92 B,$547.90,$25.23 B,$313.13 B,935.382.710,350.000,"['Healthcare', 'Insurance', 'Dowjones']"
9,10,FedEx,FDX,$47.41 B,$182.20,$5.34 B,$94.75 B,262.000.000,345.000,"['Courier', 'Transportation']"
10,11,Cognizant Technology Solutions ,CTSH,$32.24 B,$62.75,$3.03 B,$19.36 B,520.000.000,341.300,"['ITservices', 'Professionalservices']"
11,12,TJX Companies,TJX,$92.80 B,$79.94,$4.60 B,$49.27 B,1.161.886.769,340.000,"['Retail', 'Clothing']"
12,13,Pepsico,PEP,$254.38 B,$184.64,$13.58 B,$83.64 B,1.380.000.000,309.000,['Beverages']
13,14,Costco,COST,$224.41 B,$507.03,$8.12 B,$229.18 B,443.700.000,304.000,"['Retail', 'SupermarketChains']"
14,15,Lowe's Companies,LOW,$129.60 B,$214.33,$10.31 B,$95.22 B,638.000.000,300.000,['Retail']
15,16,Concentrix,CNXC,$6.32 B,$122.38,$0.64 B,$6.13 B,51.193.000,290.000,"['ITservices', 'Professionalservices']"
16,17,JPMorgan Chase,JPM,$403.68 B,$137.63,$45.58 B,$123.41 B,2.961.200.000,288.474,"['Banks', 'Financialservices', 'Dowjones']"
17,18,IBM,IBM,$133.65 B,$149.12,-$1.1 B,$47.09 B,904.100.000,282.100,"['Tech', 'Software', 'Dowjones']"
18,19,Jabil,JBL,$9.79 B,$72.77,$1.23 B,$33.47 B,140.400.000,250.000,"['Manufacturing', 'Electronics']"
19,20,Aramark,ARMK,$10.79 B,$41.72,$0.63 B,$16.32 B,257.564.000,248.300,['Food']
20,21,Wells Fargo,WFC,$181.91 B,$47.74,$20.57 B,$74.98 B,3.796.500.000,239.209,"['Banks', 'Financialservices']"
21,22,Citigroup,C,$93.97 B,$48.52,$19.58 B,$74.53 B,1.936.800.000,238.000,"['Banks', 'Financialservices']"
22,23,Microsoft,MSFT,$1.899 T,$254.78,$84.76 B,$203.07 B,7.457.000.000,221.000,"['Software', 'Tech', 'Dowjones', 'Videogames']"
23,24,CVS Health,CVS,$134.20 B,$102.14,$6.43 B,$315.22 B,1.313.000.000,216.000,"['Healthcare', 'Pharmaceuticals', 'Drugstore', 'Retail']"
24,25,Bank of America ,BAC,$299.43 B,$37.33,$30.89 B,$92.47 B,8.107.700.000,213.000,"['Banks', 'Financialservices']"
25,26,HCA Healthcare,HCA,$68.51 B,$242.35,$9.55 B,$56.49 B,287.024.800,204.000,['Healthcare']
26,27,AT&T,T,$136.80 B,$19.20,$26.56 B,$138.74 B,7.153.000.000,203.000,['Telecommunication']
27,28,Walgreens Boots Alliance,WBA,$35.98 B,$41.61,$4.38 B,$132.70 B,864.000.000,200.000,"['Dowjones', 'Retail', 'Drugstore', 'Pharmaceuticals']"
28,29,Comcast,CMCSA,$158.21 B,$36.60,$9.49 B,$121.21 B,4.457.000.000,189.000,"['Telecommunication', 'MediaPress', 'Entertainment']"
29,30,Alphabet (Google),GOOG,$1.312 T,$101.56,$78.96 B,$282.11 B,13.018.000.000,186.779,"['Internet', 'Tech', 'Software', 'Autonomousdriving']"
30,31,Ford,F,$57.16 B,$14.22,$14.12 B,$151.73 B,4.021.000.000,183.000,"['Automakers', 'Manufacturing']"
31,32,Darden Restaurants,DRI,$18.07 B,$147.70,$1.12 B,$9.77 B,122.900.000,178.956,"['Restaurantchains', 'Food']"
32,33,Raytheon Technologies,RTX,$145.77 B,$99.17,$6.50 B,$66.02 B,1.470.100.000,174.000,"['Aerospace', 'Defensecontractors']"
33,34,General Electric,GE,$94.29 B,$86.30,-$2.55 B,$75.13 B,1.095.000.000,168.000,['Conglomerate']
34,35,Apple,AAPL,$2.355 T,$148.05,$122.03 B,$394.32 B,16.162.945.000,164.000,"['Tech', 'Software', 'Dowjones', 'TechHardware', 'Electronics']"
35,36,Dollar General,DG,$53.36 B,$236.58,$2.96 B,$35.34 B,226.299.000,163.000,['Retail']
36,37,Lear Corporation,LEA,$8.57 B,$145.02,$0.49 B,$20.40 B,59.899.061,160.100,[nan]
37,38,General Motors,GM,$58.22 B,$40.99,$11.24 B,$147.21 B,1.448.000.000,157.000,"['Automakers', 'Manufacturing']"
38,39,Walt Disney,DIS,$174.19 B,$97.81,$6.83 B,$82.72 B,1.823.000.000,152.000,"['Entertainment', 'Dowjones']"
39,40,Oracle,ORCL,$222.78 B,$82.63,$9.46 B,$44.15 B,2.685.000.000,143.000,"['Tech', 'Software']"
40,41,Hilton Worldwide,HLT,$38.60 B,$142.73,$1.95 B,$3.34 B,273.000.000,142.000,"['Hotels', 'Travel']"
41,42,Boeing,BA,$106.14 B,$178.11,-$9.08 B,$61.42 B,596.000.000,142.000,"['Aircraftmanufacturers', 'Aerospace', 'Dowjones', 'Manufacturing']"
42,43,Johnson & Johnson,JNJ,$467.24 B,$178.71,$22.51 B,$96.04 B,2.629.179.895,141.700,"['Pharmaceuticals', 'Dowjones', 'Biotech']"
43,44,Tyson Foods,TSN,$23.78 B,$66.14,$4.51 B,$53.28 B,359.000.000,137.000,['Food']
44,45,Dell,DELL,$32.81 B,$44.77,$3.37 B,$99.45 B,739.000.000,133.000,"['Tech', 'TechHardware', 'Electronics']"
45,46,DXC Technology,DXC,$6.92 B,$30.08,$1.30 B,$15.37 B,232.480.000,130.000,"['ITservices', 'Professionalservices']"
46,47,Thermo Fisher Scientific,TMO,$222.33 B,$566.89,$7.92 B,$44.16 B,392.000.000,130.000,"['ScientificTechnicalInstruments', 'DiagnosticsandTesting', 'Biotech']"
47,48,American Airlines,AAL,$9.44 B,$14.54,-$0.12 B,$42.13 B,650.586.000,129.700,"['Airlines', 'Travel', 'Transportation']"
48,49,ABM Industries,ABM,$3.14 B,$47.48,$0.32 B,$7.49 B,66.800.000,124.000,[nan]
49,50,Barrett Business Services,BBSI,$0.68 B,$98.90,$63.78 M,$1.03 B,7.162.000,121.660,['Professionalservices']
