name,country,sector,founded,marketcap,revenue,employees,links,ceo
 ADDUS HOMECARE,USA,,,1690000000.0,,,,
#SINOB,GERMANY,RETAIL,2015.0,,4.0,14.0,HTTPS://WWW.SINOB.DE/,
(DIA) DISTRIBUIDORA INTERNACIONAL DE ALIMENTACIN,SPAIN,SUPERMARKETS FOOD RETAIL ,,870000000.0,,,,
(HLBANK) HONG LEONG BANK,MALAYSIA,BANKS FINANCIAL-SERVICES ,,9720000000.0,,,,
.NET IT SYSTEMHAUS,GERMANY,TECHNOLOGY,2014.0,,4280960.0,83.0,HTTPS://WWW.NET-IT-SYSTEMHAUS.COM,
0044 LIMITED,UNITED KINGDOM,,,,,,,
0X,UNITED STATES,FINTECH,2016.0,,,,,
1 INDIA FAMILY MART, INDIA,RETAIL,2012.0,,,,,
1&1,GERMANY,TELECOMMUNICATION INTERNET ,1983.0,2430000000.0,4312000.0,3163.0,HTTPS://WWW.1UND1-DRILLISCH.DE,MR. RALPH  DOMMERMUTH
1-800-FLOWERS,USA,[NAN],,600000000.0,1860000000.0,4700.0,HTTPS://WWW.1800FLOWERS.COM/,
"1-800-FLOWERS.COM, INC.",UNITED STATES,,,,,1239.0,,DR. SERGE  SAXONOV PH.D.
10.OR,TAIPEI,SMARTPHONES,2004.0,,,,,
100 PLUS,,SPORTS DRINK,,,,,,
1000MERCIS,FRANCE,,,,,386.0,,MS. YSEULYS  COSTES
104 CORP,TAIWAN,,,,,,,MR. CHI-KUAN  YANG
1047 GAMES,UNITED STATES,INTERNET SOFTWARE & SERVICES,2017.0,,,,,
10DSPACEOÃŒ(14318875),,,,,,,,
10X GENOMICS,USA,GENOMICS BIOTECH ,2012.0,4000000000.0,490000000.0,1148.0,HTTPS://WWW.10XGENOMICS.COM/,"JOHN R. STUELPNAGEL, D.V.M"
11 88 0 SOLUTIONS AG,GERMANY,,,,,565.0,,MR. CHRISTIAN  MAAR
11 BIT STUDIOS,POLAND,GAMES INDUSTRY,2009.0,310000000.0,19.0,105.0,HTTP://WWW.11BITSTUDIOS.COM/,
128 TECHNOLOGY CAREERS,BURLINGTON,INFORMATION TECHNOLOGY & SERVICES,2014.0,,,125.0,WWW.128TECHNOLOGY.COM,
1300SMILES LIMITED,AUSTRALIA,,,1086000000.0,411000000.0,338.0,HTTPS://WWW.29METALS.COM/,
17 TEA,,READY-TO-DRINK TEA,,,,,,
180 DEGREES CONSULTING CAREERS,SYDNEY,NON-PROFIT ORGANIZATION,2007.0,,,7500.0,WWW.180DC.ORG,
1957 & CO. ,HONG KONG,,,,,403.0,,MR. CHI PO  KWOK
1K NETWORKS, INDIA,RETAIL,2018.0,,,,,
1KMXC,CHINA,HARDWARE,2014.0,,,,,
